title,text
Ладная.docx,"Лада Ладная
«Чего не знаю»
Инсталляция, вода из реки Тура
2024

Живые существа перед встречей с неизвестным сжимаются, до смерти боясь того, что их ждет. В результате животное, а тем более человек - не способны ни адекватно оценить, ни осознать происходящее. А вот само сознание не боится неизвестности, за которой скрывается нечто. Например - как бы заглянуть туда, где можно пережить вечность, не имея никакой возможности выйти за пределы опыта, если она и существует в чем-то другом. Мы больше всего боимся неизвестной пустоты, которой нас так щедро угощает пространство. Сознание - и есть тот шанс, который мы имеем каждый день, каждый час и каждую секунду, которое так или иначе находит свое выражение в опыте, который мы называем реальностью.

Поэтому Лада предложила Туре создать объекты из металла, которые было невозможно контролировать. А также возможность пережить неизвестность в контролируемом пространстве, так называемую точку невозврата, что важно для профилактики синдрома Альцгеймера.
Лада Ладная - художница и перформерка. В своем искусстве придерживается сайт-специфик практик, соединяя их с иммерсивностью и мистификациями.
Окончила Тюменский государственный институт культуры и социальных технологий по специальности «Дизайн среды и графики».
Участница арт-резиденции Арткоммуналка (Коломна), лаборатории техноло-гического искусства Биостанция (Колтуши), фестиваля Архстояние (Николо-Ленивец), проекта НЕМОСКВА (Санкт-Петербург), 15-й музейной биеннале
(Красноярск) и др.
Участница арт группы НИИ Собачьих дел.

"
Рейн.docx,"Вадим Рейман 
«Культурный слой Тюмени» 
Фотография, световая кисть
2024

Фотография в современном мире воспринимается как что-то простое и доступное. У каждого человека в кармане есть портативный фотоаппарат в смартфоне, которым он может запечатлеть цветок, закат или городскую достопримечательность. Вадиму хочется привнести в искусство фотографии художественность, обогатить её дополнительными смыслами, эстетикой. Для этого он использует особый художественный метод – «световая кисть». 
[bookmark: _GoBack]Фотографии сделаны в запасники музейного фондохранилища, где большую часть времени скульптуры находятся во тьме. Вадим экспериментировал с освещением, благодаря чему появилась новая картинка, родилось что-то творческое. 
Используя «световую кисть», Вадим не показывает объекты съёмки «в лоб», реалистично, и, тем самым, скучно. Он старается сделать фотографию скульптуры, показать её иначе, необычно, чтобы люди заинтересовались. Благодаря этому зритель видит верхушку айсберга, ту часть объекта, которая выделена светом. И остаётся простор для воображения. Именно это и помогает достроить объект, догадаться, что скрывает световой рисунок. 
Это и есть момент рождения нового произведения. 
[bookmark: _heading=h.gjdgxs]Мы должны стремиться к тому, чтобы видеть привычные вещи иначе. У каждого есть фотоаппарат в руках, но мало кто использует все его возможности…

[bookmark: _heading=h.k4ykogdx60ui]Вадим Рейман – неординарный тюменский фотограф.
Путь в фотографии начал с желания выразить внутренний мир в творчестве, поскольку профессия в IT-сфере не до конца позволяла это.
В 2009 году организовал фотостудию у себя дома. Через несколько лет открыл первую в Тюмени интерьерную фотостудию под названием «ArtRoom». На протяжении 12 лет она является площадкой для творчества фотографов, видеографов, визажистов, художников и не только.
Вадим активно развивает фотографическую культуру в Тюмени: организует фотовыставки, семинары, мастер-классы со знаменитыми фотографами, проводит воркшопы. Он преподавал в тюменских вузах, Санкт-Петербургской школе телевидения, Центре опережающей профессиональной подготовки. Читает лекции по фотографии и современному искусству в тюменских музеях, проводит индивидуальное обучение по фотографии.
У Вадима прошло несколько персональных выставок, где он продемонстрировал свои работы в жанре «арт-фотография».
Свою экспертизу в области работы со светом он применил в видеопродакшне. Последние несколько лет Вадим активно участвует в съёмке роликов, клипов, сериалов и фильмов в качестве гафера и художника-постановщика.

"
Родионов.docx,"Максим Родионов 

В проекте «Культурный слой» фигурируют три экспериментальные картины, по ним мы можем наблюдать как меняется техника художника в периоде последних 4-х лет.

«Сны музыканта»
Техника: холст, масло
2021

Эта работа на грани реальности и сна, именно этот момент стал основной линией картины. Она буквально пронизывает всё пространство холста звуком отсутствующих струн. Символический ряд картины, частично приснившийся художнику во сне, задаёт драматическую атмосферу холста. 

«Мираж»

Техника: холст, масло
2022

[bookmark: _GoBack]Как бы взглядом на себя извне можно рассматривать эту картину. Это персонаж за стеклом. На самом деле реален только он сам, а в остальном это лишь отраженная реальность. Реальность видит только персонаж, а мы, зрители, видим его через эту отражённую реальность как бы из-за стекла, но работа больше о человеке взаперти своих собственных иллюзий.

«Источник»

Техника: холст, масло
2024

 «Источник» – наверное, единственная работа из представленных, в которой совсем нет никаких загадок кроме одной – что же случилось на источнике?!

Творчество Максима Родионова - это чистая импровизация, работающая в связке с аналитической трансформацией пространства и формы. Для его работ характерен внутренний конфликт чувств и метафизических представлений. Работы художника наполнены содержательными образами, столкновениями цветовой палитры, фактур и объёмов.

На его творчество оказали влияние живопись эпохи Ренессанса, особенно искусство северной Европы, храмовое искусство и русская икона. В детстве его вдохновляли работы В.И. Сурикова, И.И. Левитана и других мастеров, а знакомство с П. Пикассо в 2003 году кардинально изменило его восприятие искусства. Также значительное влияние оказал аналитический метод П. Филонова.

В целом, творчество Максима напоминает экспериментальный джазовый джем — это поиск, полный эмоциональных линий и импровизаций. Технические аспекты также играют важную роль: художник сочетает несочетаемое, отражая реальность как трансформацию различных взглядов на одну и ту же проблему.


Максим Родионов - родился 2 июля 1983 года в г. Нижневартовске.

Учился в ДШИ №1 с 1992 по 1995 год. В 1999 году поступил на художественно-графический факультет Нижневартовского государственного гуманитарного университета, который окончил в 2006 году.

Печатная и станковая графика, станковая и монументальная живопись авангардного направления стали основой творческой деятельности, позже к ним в значительной степени добавились графический дизайн и фотография.

Участник городских, окружных, областных, всероссийских, зональных, международных выставок в России и странах Европы. Автор персональных выставок и групповых художественных проектов.

Член Союза художников России международной ассоциации изобразительных искусств АИАП-ЮНЕСКО с 2011 года.
 
Его работы находятся в частных коллекциях, собраниях музеев и галерей России, Румынии, Франции, Польши, Италии.  

«Когда я вырасту – стану художником! Такое желание появилось или уже было сразу в раннем детстве. Срисовывать нравилось далеко не всегда, больше нравилось фантазировать и практически постоянно рисовать на всём что попадалось под руку. Тот же принцип работает и сейчас. Творчество становится продолжением личности, необходимо быть чистым, откровенным и искренним, образ это или пустота – это путь с закрытыми глазами и нужно ему довериться»


Участник выставок: 

2004 год 
- Международная выставка мини графики «A cote de la plague», Франция, г. Лилль;
- Персональная выставка «Кривая №1», г. Нижневартовск.

2005 год
- Международная выставка гравюры малых форм и экслибриса «Karbonary №6», Румыния, г. Байя-Маре;
- Выставка «Молодежь. Искусство. Время», г. Ханты-Мансийск;
- Международная выставка «11th international biennial mini print & ex libris», Польша, г. Острув Велкопольский;
- Выставка «Югра художественная», г. Ханты-Мансийск.

2006
- Персональная ыставка «Два моря», г. Нижневартовск;
- 2 Международное бьеннале мини графики «GRAPHIUM», Румыния, г. Тимисоара;
- Выставка «Пейзаж Югры», г. Ханты-Мансийск;
- «Отчётная выставка Тюменского регионального отделения ВТОО «СХР», г. Тюмень.

2007
- Персональная выставка «Неоромантика», г. Нижневартовск;
- 8 Международное бьеннале гравюры «Premio acqui», Италия, г. Акви-Терме;
- 12 Международное бьеннале «Мini print & ex libris», Польша, г. Острув Велкопольский.

2008
- Региональная молодёжная выставка «УРАЛ», г. Челябинск;

2009
- Персональная выставка «Моя Волна», г. Нижневартовск.

2010
- Всероссийская выставка-конкурс «ART-VISUALIS», г. Омск;
- Персональная выставка « Aerofobia» г. Нижневартовск;
- Выставка «Молодые художники Югры» г. Ханты-Мансийск.

2011
- Всероссийская выставка «Молодые художники России», г. Москва;
- Персональная выставка «LIVE NV» г. Нижневартовск.

2013
[bookmark: _heading=h.gjdgxs]- Отчетная выставка Ханты-Мансийкого отделения СХР г. Лангепас.

2014
- Выставка «70-летию Союза художников», г. Тюмень;
-Персональная выставка «ШYМ», г. Тюмень.

2015
- Персональная выставка «PROLЮБОVЬ», г. Сургут;
- Персональная выставка «VESNA», г. Тюмень;
- Персональная выставка в рамках проекта салона «ГРАНЖ», г. Тюмень.

2017
- Персональная выставка «Смех», г. Тюмень.

2019
- Персональная выставка «Время и Место», г. Сургут;
- Юбилейная выставка Тюменского регионального отделения ВТОО «СХР» «75 лет вместе», г. Тюмень.

2022
- Выставка «С искусством по жизни», г. Тюмень;
- XXIV Всероссийский фестиваль дизайна архитектуры искусств, г. Тюмень.

2023
- Передвижная выставка «Фаза быстрого сна»;
- Персональная выставка «Миражи», г. Тюмень;
- XXV Всероссийский фестиваль дизайна архитектуры искусств «Кто? Мы!», г. Тюмень.

2024
- Юбилейная выставка Тюменского регионального отделения ВТОО «СХР» «80 лет вместе», г. Тюмень.
"
Жернова аннотация.docx,"Александра Жернова
«Туменова София Ермаковна»
Техника
Год


Для создания своей работы я составила психологическую и визуальную карту Тюмени, соединив в ней мифы и реальные факты,  и переложила её на вымышленного человека. Так появился персонаж Туменова София Ермаковна (Тумен – есть две версии, почему Тюмень так называется. Первая версия: от тюркского слова, означающего 10 тысяч. Академик Г. Ф. Миллер приводит татарскую легенду о местном князе, который то ли имел такое количество подданных, то ли мог выставить тумен воинов, то ли заполнил все тюменские овраги своим скотом, и так набралось 10 000 голов. Вторая версия: от татарских слов «тю» (достояние) и «мянь» (я). София – имя, которое тюменцы часто давали новорожденным девочкам в 2023 г. В её отчестве отразился образ Ермака Тимофеевича – казачьего атамана, поход которого позволил начать присоединение Сибири к Русскому государству. Софье 43,8 года (городу 438 лет). День рождения у моей героини 29 июля (29 июля 1586 г. воеводами Василием Сукиным и Иваном Мясным был заложен Тюменский острог). По знаку зодиака София – Лев, а по китайскому календарю – красная огненная собака. 

Тюмень – крупный промышленный центр, который занимается добычей нефти и газа, машиностроением, химической промышленностью и другими отраслями, поэтому мой персонаж работает в нефтедобывающей отрасли.
Город славится своими достопримечательностями и культурным наследием, поэтому София увлекается искусством.

Внешность Софии строилась благодаря анализу ландшафта, застройки, качества дорог города, а также национальному составу городского населения. У неё большая и многонациональная семья, у неё есть татарские, русские, украинские корни. У Софии четверо детей (четыре административных округа).

У Софии прямые густые тёмные волосы, карие глаза, рост чуть выше среднего. Она предпочитает яркую, иногда странную одежду (не всегда удачный выбор дизайна или цветовой гаммы застроек), есть винтажные вещи, доставшиеся ей от прабабушки и бабушки (деревянное зодчество), а на теле есть татуировки (стрит-арт, которого в городе становится всё больше и больше). 


Собрав эти данные, я создала портрет моей героини с помощью нейросети. С этими фотографиями и всей информацией я обратилась к тюменским тарологу-экстрасенсу и проводникам по натальным картам. Вопросы были для всех “экспертов” и проводников одни и те же: 

Что вы чувствуете, когда видите её фотографию?
Какое будущее её ждёт?
Какие изменения её ждут?
[bookmark: _GoBack]Чего нужно опасаться?
"
этикетаж Васильева Анастасия.docx,"Анастасия Васильева
«Тюмень – столица деревень»
Графика
2024
Взгляд тюменки на современные реалии города: синергию природы и архитектуры – нерукотворного и рукотворного.
Фраза «Тюмень – столица деревень» на футболке у девушки отсылает к современному веянию в моде – использованию местного фольклора, популяризации родного края и его особенностей. За спиной у девушки ком из архитектуры разных времён и её особенностей, ставших символами локальной идентичности. 

Художница и дизайнер, чьи работы представлены в разных городских пространствах. В 2015 г. создаёт работы в авторской технике «Нити чернил» с использованием шариковой ручки. Её работы составляются из фрагментов бытия, пронизанных природными мотивами, меланхоличными образами, а также карикатурными иллюстрациями различных эмоций и событийных сюжетов. Она вдохновляется творением природы и радостью жизни, которые всегда находятся прямо перед нами в нашей повседневности. 
[bookmark: _GoBack]



"
Никита Плеханов Био.docx,"Никита Плеханов
«Зеркало Истины»

Медиа-арт, стекло, металл
2024


Портал отражает эхо забытых измерений, он способен открывать двери во времени – к событиям, которые не стёрлись из памяти мира, но и не обрели полноценной реальности. 


Современный российский мультимедиа-художник, мультипликатор и электрический музыкант стиля бип-буп. Участник флюидной арт-группы «Космическая корова», лаборатории симультанного перформанса SIMV_lab.

Участник 6-й индустриальной биеннале современного искусства, фестивалей комиксов Comic Arts Tyumen, арт-резиденций «Закат» и «Вход здесь», выставки «В Закудесье» в галерее «Ветерок».

В своём искусстве Никита обращается к цифровому, органическому, съедобному, волшебному и странному.

Работает с движущимся изображением, звуком и широким спектром возможностей цифровых и аналоговых медиа.

[bookmark: _GoBack]Создаёт цифровые и физические интерактивные пространства для взаимодействия со зрителем.
"
Клеи_ман_Е_Телячьи_нежности_КС.docx,"Елена Клейман 
Серия «Телячьи нежности»
Материал: силиконовая скатерть, ткань, акрил
2024 

В нынешнее время документация жизни происходит перманентно через смартфоны и активность в социальных сетях. Для возврата в счастливые мгновения достаточно разблокировать телефон и пролистать вниз. Запечатлеть момент в нашем детстве получалось намного реже, часто это происходило в особые события: праздники, приезд гостей и родственников. Такие фотографии сейчас имеют особое магическое свойство – они документируют чувства, воспоминания. Порой эти воспоминания становятся коллективными для целого поколения, а ощущение тепла дома и семьи возможно разделить, даже рассматривая фотографии чужих тебе людей. 
Основой серии работ «Телячьи нежности» стали семейные фотографии из моего детства. Они сделаны в нескольких поселениях Тюменской области: д. Новиково, с. Исетское – все они на данный момент сильно изменились, где-то я не была уже много лет. В работах я стремлюсь показать, в первую очередь, момент счастья и любви, пронесённый сквозь года.



Художница и исследовательница, которая работает с темами человеческой и культурной памяти, истории места и понятием дома. В своих проектах обращается к образу человека как к духу места, а
также использует символизм как один из способов разговора со зрителем. Основные техники – живопись, текстильный коллаж, жанр – автопортрет, портрет.

Резидент арт-резиденции «Полярис» (2024, Салехард), создательница газеты об искусстве Тюмени «Вы», участница перформанс группы «Koja» (2021-2023) и объединения «СПКТР» (2021 – наст. вр.).

Участница региональных, федеральных и международных выставок, таких как «Обойдемся без стен» (2023, Тюмень, паблик-арт проект «Морфология улиц»), «На удачу» (2023, Магнитогорск), «Все свои. Синхронизация» (2020, Тюмень), международная выставка «А4» (2018, Тюмень), и фестивалей «Ночь Конторы» (2023, Тюмень), «Закат» (2021, Тюмень) и другие.

Фото: https://drive.google.com/file/d/18r7SsStp9p3q0MItkJcMTpNnqNM5zkgZ/view?usp=sharing 


"
Алексеева.docx,"Анна Алексеева
«Тюменский код на коже»
Техника: татуировка
2024
В рамках экспозиции представлены работы, воплощающие в себе исторические и культурные особенности города Тюмени. 
Тюменские весы, использовавшиеся во всём СССР, – символ централизации и стандартизации. Эти весы олицетворяют историческую связь Тюмени со всей страной. 
Водонапорная башня – объект, окружённый мистическими легендами. Она стала неотъемлемой частью городского ландшафта и культурного наследия Тюмени. 
Тюменский деревянный наличник – пример уникального деревянного зодчества Тюмени. Этот экспонат демонстрирует особенности местной архитектуры и традиции оформления наличников в Тюмени. 
Первая 16-этажная постройка в Тюмени – знаковое событие для города, ознаменованное популярным высказыванием ведущего Валентина Кологривова: «Горожане штурмуют высоту первого в Тюмени 16-этажного дома». Это произведение отражает стремление Тюмени к развитию и прогрессу.
Для создания ярких и запоминающихся изображений Анна использует нестандартные материалы, такие, как силикон и тату-пигменты.
Творческая жизнь Анны Алексеевой началась, когда ей было всего пять с половиной лет. Именно тогда она создала свою первую работу, которая была включена в тюменскую областную выставку. Эта работа таила в себе искру неуемного творчества. 
С течением времени Анна не просто увлеклась творчеством, но и значительно углубила свои знания и навыки в искусстве, получив два высших образования, одно из которых — на художественно-графическом факультете. Но её сердце завоевали не только кисти и краски. 
С детства Анна была очарована каллиграфией и рисованием, и эти страсти лишь усиливались с годами. Однако, посудите сами, жизнь — она такая широкая и многогранная, почему бы не попробовать себя в чём-то новом? Так она приобщилась к миру тату — и уже более шести лет посвящает себя этому искусству.  Некоторое время Анна провела в Польше, работая тату-мастером. 
Ее становление в мире творчества не ограничиваются только тату и рисованием. Одна из её работ гордо занимает место в книге рекордов Гиннеса. Но и это ещё не всё! Её любовь к творчеству постоянно находит новые пути для реализации, позволяя создавать уникальные полотна, которые, она надеется, касаются струн вашей души. 
Как будто этого было мало, Анна также успела поработать дизайнером в крупном авто холдинге. Каждый из этих опытов по-своему обогатил её и помог вложить частичку души в каждый проект. 
В этом году она стала частью большого кинопроекта, работая бутафором над фильмом «Горыныч» в команде мастерской художниц Надежды Васильевой (Балобановой) и Лёли Михайловой. 
Сегодня, стоя у порога этого музея, Анна чувствует себя мостом между прошлым и будущим своего искусства. И она приглашает каждого из вас пройти по этому мосту вместе с ней, открывая новые горизонты и переживая незабываемые моменты, которые, она надеется, останутся с вами навсегда.
[bookmark: _GoBack]
"
Щелкун.docx,"Дарья Щелкун
«Быть» 
Фотография
2023
«Быть» – это про жизнь небольшого села, про скот, про ветхие дома, про яркие наличники, про глубокие колодцы с холодной водой, про дрова, которые готовят к зиме, про орнаменты, которые рисуют на воротах оград, про чистый воздух. Про то, что надо просто как-то существовать здесь и сейчас, просто быть.
Дарья Щелкун – исследователь и художница, которая работает с фотографией, инсталляциями, картинами. В Тюмень Дарья переехала 3 года назад. Своей малой родиной считает Нижнетавдинский район, село Велижаны. 
В своих работах она раскрывает тему детства, воспоминаний. Также, Дарья обращается к теме тепловидения, наблюдая за распределением температуры исследуемой поверхности.
Фотопроект «Быть» отражает жизнь обычной деревни Тюменской области.
Многие населённые пункты уходят в небытие, поэтому очень важно напоминать о таких уголках нашего края. Прежде всего, деревни являются неотъемлемой частью исторического и культурного наследия. В них сохраняются традиции, обычаи и ценности, которые передаются из поколения в поколение. 
Выставки:
2020 г. - Пленэрная выставка в союзе художников
[bookmark: _GoBack]2021 г. – Выставка «Без обид»
"
Константин_Росляков_Генератор_идей.docx,"Константин Росляков 
«Генератор идей» 
Глубокие медиа, электронные компоненты 

Инсталляция
2024


Основой для развития культуры является процесс генерации идей – персональный или коллективный, не имеет значения. В быстром современном мире и многообразии всевозможных референсов поток идей иногда зашкаливает, и приходится выбирать и останавливаться на избранных и одобряемых задумках. Конечно, реальность после воплощения разных идей не имеет одинакового проявления – разные идеи скрывают за собой отличающиеся вещественные данности мышления. У кого-то это более сложные структуры, у кого-то простые. Однако одно из одинаковых свойств идей – это их лёгкая и непринуждённая способность забываться.

Идеи появляются и исчезают. Можем ли мы представить пространство, где они обитают, когда забываются? Интересно представить такое место, аналогичное бескрайнему архиву или библиотеке, где каждая забытая идея хранится в виде светящегося свитка или эфемерного облака, дрейфующего между полками и коридорами этого необычного хранилища. 

Это место, невидимое для глаза, доступно только в особых моментах вдохновения, когда человеческий разум случайно находит потерянный ключ или прослеживает невидимую нить, ведущую к одному из этих светящихся
фрагментов.

В этом мистическом пространстве, возможно, существуют хранители – эфирные существа или автоматы, обеспечивающие порядок и сохранность идей. Они, возможно, обновляют устаревшие концепции и иногда, случайно или умышленно, отправляют их обратно в мир людей через мгновения озарения. Эти идеи, находясь в таком архиве, могут соединяться друг с другом, создавая новые, ещё не изведанные концепции.

Такое взаимодействие приводит к тому, что, возвращаясь в мир реальный, они уже не такие, когда были забыты; они трансформированы, обогащены, готовы вновь влиять на ход человеческой мысли.

[bookmark: _GoBack]Инсталляция создана в жанре глубоких медиа (deep media) в стиле soviet wave с элементами хонтологии и аллегорического искусства. Вбирает в себя аудио, видео и объектную документацию по итогам посещения территории бывшей ракетной станции «Долина», расположенной в 40 км от Тюмени. Внешний вид сохранившихся помещений отсылает к фильмам Андрея Тарковского (Сталкер, Зеркало), фильмам Кончаловского (Сибириада), заброшенным научно-исследовательским институтам и первобытным менгирам, показанным через долгий медитативный статический кадр. Аудиально инсталляция наполнена полевыми записями и записью резонаций некоторых помещений станции.
Созданный и размещённый как бы в центре экспозиции объект отсылает к советской фантастике («Гиперболоид инженера Гарина» Толстой, «Маркун» Платонов) и  советской психотронике.

